timestamp,user_id,amount,device_id,lat,lon,ip_address,is_fraud,hour,day_of_week,tx_count_24h,avg_spend_user,amount_ratio,dist_from_last_tx_km,travel_velocity_kmph,auth_method_PIN,auth_method_Password,category_food,category_grocery,category_tech,category_travel,category_utilities
2026-01-06 03:48:27,user_0,347.15,8b9d2434,81.60522,-120.226604,82.90.80.12,0,3,1,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True
2026-01-07 03:02:27,user_0,232.72,1a3d1fa7,81.66459,-120.236689,126.34.187.104,0,3,2,2.0,347.15,0.6703730375918191,6.603658265940894,0.0,True,False,False,False,False,False,True
2026-01-07 11:42:27,user_0,260.47,1a3d1fa7,81.612479,-120.228856,85.120.94.32,0,11,2,2.0,289.935,0.8983737734319762,5.795862898743343,0.0,False,True,False,False,False,False,True
2026-01-08 01:23:27,user_0,103.94,3eb13b90,81.600013,-120.252652,88.148.139.201,0,1,3,3.0,280.11333333333334,0.3710640931051717,1.4389638455262388,0.0,False,False,True,False,False,False,False
2026-01-08 15:46:27,user_0,2897.77,8b9d2434,81.599709,-120.249781,8.71.173.80,0,15,3,2.0,236.07,12.27504553734062,0.05759873688275147,0.0,False,True,False,False,True,False,False
2026-01-09 07:40:27,user_0,294.58,3eb13b90,81.651386,-120.268968,221.75.225.57,0,7,4,2.0,768.4100000000001,0.38336304837261354,5.754615274921254,0.0,False,False,False,False,False,False,False
2026-01-09 17:19:27,user_0,306.58,1a3d1fa7,81.661947,-120.193735,153.123.108.118,0,17,4,2.0,689.4383333333334,0.4446808150596016,1.688947781093353,0.0,False,False,False,False,False,False,True
2026-01-10 02:04:27,user_0,146.44,1a3d1fa7,81.689112,-120.240632,164.39.251.196,0,2,5,3.0,634.7442857142858,0.23070707889116202,3.11353143905634,0.0,True,False,False,False,False,False,False
2026-01-10 08:44:27,user_0,230.87,3eb13b90,81.658766,-120.244026,108.27.100.173,0,8,5,3.0,573.70625,0.40241848506966765,3.3747637528833807,0.0,False,True,False,False,False,False,True
2026-01-11 03:01:27,user_0,2119.31,8b9d2434,81.683584,-120.241204,202.93.86.74,0,3,6,2.0,535.6133333333332,3.956790968609196,2.760010000659118,0.0,False,False,False,False,True,False,False
2026-01-12 02:13:27,user_0,2679.79,8b9d2434,81.671078,-120.227057,96.87.136.252,0,2,0,2.0,693.983,3.8614634652433852,1.4091222686531812,0.0,False,False,False,False,True,False,False
2026-01-12 10:13:27,user_0,66.54,1a3d1fa7,81.625763,-120.182993,184.109.180.33,0,10,0,2.0,874.510909090909,0.07608824464999658,5.088806375455495,0.0,False,False,False,True,False,False,False
2026-01-13 05:34:27,user_0,2709.95,8b9d2434,81.69475,-120.189555,130.160.153.236,0,5,1,2.0,807.18,3.3573056815084614,7.671734404686658,0.0,False,False,False,False,True,False,False
2026-01-13 23:46:27,user_0,458.87,3eb13b90,81.640829,-120.243947,78.62.120.64,0,23,1,2.0,953.546923076923,0.4812243518329541,6.059461152398918,0.0,False,True,False,False,False,False,False
2026-01-14 23:44:27,user_0,357.12,8b9d2434,81.690138,-120.218052,152.169.214.208,0,23,2,2.0,918.2128571428572,0.38892942657242563,5.498773414977662,0.0,False,True,False,False,False,False,False
2026-01-15 12:34:27,user_0,2832.68,8b9d2434,81.675249,-120.234488,106.92.99.22,0,12,3,2.0,880.8066666666666,3.2160065394600403,1.6765564735522664,0.0,True,False,False,False,True,False,False
2026-01-16 01:41:27,user_0,488.72,1a3d1fa7,81.691658,-120.267198,28.78.147.207,0,1,4,2.0,1002.7987499999999,0.4873560123604064,1.8989276831995585,0.0,True,False,False,False,False,False,False
2026-01-16 08:24:27,user_0,298.74,1a3d1fa7,81.615014,-120.273485,128.250.221.208,0,8,4,3.0,972.5588235294117,0.3071690809568452,8.523028108767356,0.0,False,True,False,False,True,False,False
2026-01-17 01:43:27,user_0,93.12,3eb13b90,81.63525,-120.192146,44.212.176.147,0,1,5,2.0,935.1244444444443,0.09958032917781592,2.6073863919380846,0.0,True,False,False,False,False,False,True
2026-01-17 21:38:27,user_0,436.7,1a3d1fa7,81.613087,-120.262605,152.155.119.222,0,21,5,2.0,890.8084210526316,0.4902288636696649,2.7158367915934964,0.0,False,True,False,False,False,False,False
2026-01-18 04:16:27,user_0,310.17,1a3d1fa7,81.595932,-120.249387,99.181.255.234,0,4,6,2.0,868.1029999999998,0.35729631161279257,1.9195816959354166,0.0,True,False,False,False,False,False,True
2026-01-18 11:48:27,user_0,628.99,3eb13b90,81.599545,-120.263168,11.201.25.16,0,11,6,3.0,841.5347619047619,0.7474319879268208,0.4599330524082011,0.0,True,False,False,False,True,False,False
2026-01-18 17:44:27,user_0,9.84,3eb13b90,81.608289,-120.238462,43.69.155.51,0,17,6,4.0,831.8736363636363,0.011828719615413619,1.051784540991318,0.0,False,True,True,False,False,False,False
2026-01-12 09:25:10,user_1,122.74,37f8a88b,68.504603,46.56664,96.89.137.146,0,9,0,1.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False
2026-01-13 00:10:10,user_1,191.93,37f8a88b,68.540569,46.52221,214.189.229.108,0,0,1,2.0,122.74,1.5637119113573408,4.389284664648586,0.0,False,True,False,True,False,False,False
2026-01-13 08:25:10,user_1,156.84,37f8a88b,68.470464,46.512684,203.177.244.54,0,8,1,3.0,157.335,0.9968538468872151,7.804976297167674,0.0,True,False,False,True,False,False,False
2026-01-14 07:05:10,user_1,444.04,37f8a88b,68.522793,46.476424,42.158.218.159,0,7,2,2.0,157.17,2.825221098173952,6.00347903160422,0.0,False,False,False,False,False,False,False
2026-01-14 16:38:10,user_1,71.77,37f8a88b,68.501967,46.518203,204.0.185.101,0,16,2,2.0,228.88750000000002,0.3135601550980285,2.873746946824399,0.0,True,False,False,False,False,False,False
2026-01-15 05:07:10,user_1,146.55,37f8a88b,68.497563,46.541541,185.61.172.109,0,5,3,3.0,197.464,0.7421605963618686,1.0697708192509943,0.0,False,True,True,False,False,False,False
2026-01-15 08:33:10,user_1,82.64,37f8a88b,68.538736,46.484936,173.77.213.110,0,8,3,3.0,188.97833333333335,0.43729880850538416,5.1257265312015,0.0,False,False,True,False,False,False,False
2026-01-15 14:47:10,user_1,2142.68,37f8a88b,68.549953,46.553092,207.111.57.41,0,14,3,4.0,173.78714285714287,12.329335558277366,3.0397821392752826,0.0,False,False,False,False,True,False,False
