amount,lat,lon,is_fraud,hour,day_of_week,tx_count_24h,avg_spend_user,amount_ratio,dist_from_last_tx_km,travel_velocity_kmph,auth_method_PIN,auth_method_Password,category_food,category_grocery,category_tech,category_travel,category_utilities
347.15,81.60522,-120.226604,0,8,0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True
232.72,81.66459,-120.236689,0,8,1,2.0,347.15,0.6703730375918191,6.603658265940894,0.0,True,False,False,False,False,False,True
260.47,81.612479,-120.228856,0,16,1,2.0,289.935,0.8983737734319762,5.795862898743343,0.0,False,True,False,False,False,False,True
103.94,81.600013,-120.252652,0,6,2,3.0,280.11333333333334,0.3710640931051717,1.4389638455262388,0.0,False,False,True,False,False,False,False
2897.77,81.599709,-120.249781,0,20,2,2.0,236.07,12.27504553734062,0.05759873688275147,0.0,False,True,False,False,True,False,False
294.58,81.651386,-120.268968,0,12,3,2.0,768.4100000000001,0.38336304837261354,5.754615274921254,0.0,False,False,False,False,False,False,False
306.58,81.661947,-120.193735,0,22,3,2.0,689.4383333333334,0.4446808150596016,1.688947781093353,0.0,False,False,False,False,False,False,True
146.44,81.689112,-120.240632,0,7,4,3.0,634.7442857142858,0.23070707889116202,3.11353143905634,0.0,True,False,False,False,False,False,False
230.87,81.658766,-120.244026,0,13,4,3.0,573.70625,0.40241848506966765,3.3747637528833807,0.0,False,True,False,False,False,False,True
2119.31,81.683584,-120.241204,0,8,5,2.0,535.6133333333332,3.956790968609196,2.760010000659118,0.0,False,False,False,False,True,False,False
2679.79,81.671078,-120.227057,0,7,6,2.0,693.983,3.8614634652433852,1.4091222686531812,0.0,False,False,False,False,True,False,False
66.54,81.625763,-120.182993,0,15,6,2.0,874.510909090909,0.07608824464999658,5.088806375455495,0.0,False,False,False,True,False,False,False
2709.95,81.69475,-120.189555,0,10,0,2.0,807.18,3.3573056815084614,7.671734404686658,0.0,False,False,False,False,True,False,False
458.87,81.640829,-120.243947,0,4,1,2.0,953.546923076923,0.4812243518329541,6.059461152398918,0.0,False,True,False,False,False,False,False
357.12,81.690138,-120.218052,0,4,2,2.0,918.2128571428572,0.38892942657242563,5.498773414977662,0.0,False,True,False,False,False,False,False
